,JobAds
51,"**Stellenangebot: Produktionsmitarbeiter (m/w/d) für unseren Produktionsstandort in Berlin gesucht**

Unser Unternehmen, ein führender Hersteller von hochwertigen Möbeln, sucht motivierte Produktionsmitarbeiter (m/w/d) für unseren Standort in Berlin. Als Teil unseres dynamischen Teams werden Sie an der Herstellung und Qualitätskontrolle unserer Produkte beteiligt sein.

**Aufgaben:**

- Montage von Möbelstücken nach Vorgaben
- Bedienen von Produktionsmaschinen
- Qualitätskontrolle der hergestellten Möbel
- Verpacken und Versandfertigmachen der fertigen Produkte
- Einhaltung von Sicherheitsvorschriften und Qualitätsstandards

**Anforderungen:**

- Erfahrung in der Produktion, idealerweise in der Möbelindustrie
- Handwerkliches Geschick und Auge für Details
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Deutschkenntnisse auf B1-Niveau

**Wir bieten:**

- Eine attraktive Vergütung und Zusatzleistungen
- Ein modernes Arbeitsumfeld und gute Arbeitsbedingungen
- Weiterbildungsmöglichkeiten und Aufstiegschancen
- Ein engagiertes Team und eine offene Unternehmenskultur
- Die Möglichkeit, an der Herstellung hochwertiger Produkte mitzuwirken

Wenn Sie gerne in einem innovativen Unternehmen arbeiten und Teil eines erfolgreichen Teams sein möchten, senden Sie uns Ihre Bewerbung inklusive Lebenslauf und relevanter Zeugnisse. Wir freuen uns darauf, Sie kennenzulernen und gemeinsam mit Ihnen die Erfolgsgeschichte unseres Unternehmens weiterzuschreiben.

Arbeitsort: Berlin

Art der Anstellung: Vollzeit

**Kontakt:**

Bewerbungen an: jobs@moebelhersteller-berlin.de

Telefon: 030-123456789

Website: www.moebelhersteller-berlin.de

Wir sind gespannt auf Ihre Bewerbung und freuen uns darauf, Sie in unserem Team willkommen zu heißen!"
52,"**Stellenangebot: Elektriker (m/w/d)**

Standort: Berlin

Wir sind ein renommiertes Unternehmen in der Elektrobranche mit langjähriger Erfahrung und bieten unseren Kunden hochwertige elektrotechnische Lösungen. Zur Verstärkung unseres Teams suchen wir ab sofort einen engagierten Elektriker (m/w/d) in Vollzeit.

**Aufgaben:**
- Installation, Wartung und Reparatur von elektrischen Anlagen und Systemen
- Durchführung von Elektroinstallationen in Wohn- und Gewerbeimmobilien
- Störungsbehebung und Fehlerdiagnose an elektrischen Anlagen
- Kundenberatung und -betreuung vor Ort

**Anforderungen:**
- Abgeschlossene Ausbildung zum Elektriker oder vergleichbare Qualifikation
- Berufserfahrung im Bereich Elektroinstallationen
- Gute Kenntnisse der relevanten Vorschriften und Normen
- Teamfähigkeit und eigenverantwortliche Arbeitsweise
- Führerschein der Klasse B von Vorteil

**Wir bieten:**
- Attraktives Gehalt und Zusatzleistungen
- Angenehmes Arbeitsklima in einem motivierten Team
- Vielfältige Weiterbildungsmöglichkeiten und Entwicklungsperspektiven
- Moderne Arbeitsmittel und -umgebung
- Interessante Projekte und abwechslungsreiche Aufgaben

Wenn Sie eine Leidenschaft für Elektrotechnik haben und gerne in einem dynamischen Umfeld arbeiten, freuen wir uns auf Ihre Bewerbung. Senden Sie uns Ihre aussagekräftigen Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen per E-Mail an recruiting@elektrofirma.de. Wir garantieren Ihnen eine vertrauliche Behandlung Ihrer Unterlagen und stehen Ihnen bei Fragen gerne zur Verfügung.

**Hinweis:**
Alle Geschlechter sind angesprochen. Bewerbungen von Menschen mit Behinderungen sind ausdrücklich erwünscht.

**Elektrofirma GmbH**
Musterallee 123
12345 Berlin
Tel.: 01234 567890
Web: www.elektrofirma.de

Wir freuen uns auf Ihre Bewerbung!"
53,"Stellenangebot: Bürokauffrau/Bürokaufmann

Unser Unternehmen, ein renommierter Logistikdienstleister in der Region, sucht eine/n engagierte/n Bürokauffrau/Bürokaufmann, um unser Team im Büro zu unterstützen.

Ihre Aufgaben umfassen die Koordination und Organisation von verschiedenen administrativen Aufgaben im Büro. Dazu gehören die Bearbeitung von eingehenden Anfragen, die Erstellung von Angeboten und Rechnungen, die Pflege der Kundendatenbank, die Organisation von Terminkalendern sowie die allgemeine Büroorganisation.

Wir suchen eine motivierte und zuverlässige Person mit einer abgeschlossenen kaufmännischen Ausbildung und idealerweise bereits einige Jahre Berufserfahrung im Büroumfeld. Sie sollten über gute Kenntnisse in gängigen Bürosoftwareprogrammen wie MS Office verfügen und eine schnelle Einarbeitung in neue Programme ermöglichen.

Kommunikationsstärke, Organisationstalent und Teamfähigkeit sind unerlässlich für diese Position. Ein freundliches Auftreten im Umgang mit Kunden und Kollegen ist ebenso wichtig wie eine strukturierte und eigenverantwortliche Arbeitsweise.

Wir bieten Ihnen eine vielseitige und anspruchsvolle Tätigkeit in einem dynamischen Umfeld, in dem Teamwork und persönliche Entwicklung gefördert werden. Neben einer leistungsgerechten Vergütung erhalten Sie bei uns auch die Möglichkeit zur beruflichen Weiterbildung und individuellen Entwicklungsmöglichkeiten.

Wenn Sie Teil eines erfolgreichen und wachsenden Unternehmens werden wollen und die Anforderungen dieser Stelle erfüllen, freuen wir uns auf Ihre Bewerbung. Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen per E-Mail an [Kontaktadresse].

Wir sind gespannt auf Ihre Bewerbung und darauf, Sie bald in unserem Team willkommen zu heißen."
54,"Stellenanzeige:

Wir sind ein führendes Unternehmen in der Logistikbranche und suchen zum nächstmöglichen Zeitpunkt einen zuverlässigen und motivierten Logistikmitarbeiter (m/w/d) für unser Lager in [Standort]. 

Aufgaben:
- Verantwortung für die Kommissionierung und den Versand von Waren
- Durchführung von Inventuren und Bestandskontrollen
- Einhaltung von Qualitätsstandards und Sicherheitsvorschriften
- Bedienung von Lagerverwaltungssystemen
- Unterstützung bei allgemeinen Lagerarbeiten

Anforderungen:
- Erfahrung im Bereich Lagerwirtschaft von Vorteil
- Teamfähigkeit und Flexibilität
- Gute körperliche Fitness und Belastbarkeit
- Bereitschaft zur Schichtarbeit
- Führerschein der Klasse B von Vorteil

Wir bieten:
- Attraktive Vergütung und Sozialleistungen
- Angenehmes Arbeitsklima in einem motivierten Team
- Vielfältige Entwicklungsmöglichkeiten und Weiterbildungsmöglichkeiten
- Modern ausgestattetes Arbeitsumfeld

Wenn Sie Spaß an der Arbeit im Lager haben und gerne in einem dynamischen Umfeld arbeiten, dann freuen wir uns auf Ihre Bewerbung. Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an [Kontaktinformationen].

Wir begrüßen Bewerbungen von Kandidaten aus allen Bevölkerungsgruppen. Wir schätzen die Vielfalt unserer Belegschaft und fördern eine inklusive Arbeitskultur."
55,"**Stellenangebot: Produktionsmitarbeiter (m/w/d)**

Wir sind ein führendes Unternehmen in der Lebensmittelbranche und suchen derzeit motivierte Produktionsmitarbeiter (m/w/d) für unseren Standort in München. Als Teil unseres dynamischen Teams werden Sie daran arbeiten, hochwertige Produkte herzustellen, die täglich von Millionen Menschen genossen werden.

**Aufgaben:**
- Durchführung von Produktionsarbeiten gemäß den vorgegebenen Qualitäts- und Sicherheitsstandards
- Bedienung und Überwachung von Produktionsmaschinen und -anlagen
- Qualitätskontrolle der hergestellten Produkte
- Unterstützung bei der Einhaltung von Produktionszielen und Zeitplänen

**Anforderungen:**
- Erfahrung in der Lebensmittelproduktion von Vorteil, aber nicht zwingend erforderlich
- Bereitschaft zur Schichtarbeit (Früh- und Spätschicht)
- Teamfähigkeit, Zuverlässigkeit und Engagement
- Grundlegende Kenntnisse in der Bedienung von Produktionsmaschinen
- Gute Deutschkenntnisse in Wort und Schrift

**Wir bieten:**
- Eine angemessene Vergütung basierend auf Ihrer Erfahrung und Qualifikation
- Die Möglichkeit, in einem wachsenden Unternehmen und einem freundlichen Team zu arbeiten
- Schulungen und Weiterbildungsmöglichkeiten zur persönlichen und beruflichen Entwicklung
- Betriebliche Sozialleistungen und Benefits

**Bewerbung:**
Wenn Sie eine Leidenschaft für die Lebensmittelproduktion haben und gerne in einem vielfältigen Team arbeiten, senden Sie bitte Ihre aussagekräftige Bewerbung an [E-Mail-Adresse]. Wir freuen uns darauf, Sie kennenzulernen und gemeinsam die Zukunft unseres Unternehmens mitzugestalten.

*Hinweis: Diese Position steht sowohl Blue-Collar- als auch White-Collar-Kräften offen. Wir sind stolz darauf, ein diverses und inklusives Arbeitsumfeld zu fördern.*"
56,"Stellenanzeige

Position: Produktionsmitarbeiter (m/w/d)

Unser Unternehmen, ein führender Hersteller von hochwertigen Industrieprodukten, sucht motivierte Produktionsmitarbeiter (m/w/d) für unseren Standort in [Stadt]. Als Teil unseres engagierten Teams werden Sie eine entscheidende Rolle bei der Fertigung und Qualitätssicherung unserer Produkte übernehmen.

Aufgaben:
- Bedienung von Produktionsmaschinen und -anlagen
- Überwachung des Fertigungsprozesses und Sicherstellung der Produktqualität
- Durchführung von Qualitätskontrollen und Fehlerbehebungen
- Einhaltung von Sicherheitsstandards und Vorschriften am Arbeitsplatz
- Unterstützung bei der Wartung und Instandhaltung von Maschinen

Anforderungen:
- Erfahrung in der Produktion oder einem handwerklichen Bereich von Vorteil
- Technisches Verständnis und Geschick im Umgang mit Maschinen
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Gute Deutschkenntnisse

Was wir bieten:
- Ein attraktives Gehalt und zusätzliche Sozialleistungen
- Eine gründliche Einarbeitung und Unterstützung durch erfahrene Kollegen
- Weiterbildungsmöglichkeiten und Karriereentwicklung
- Ein angenehmes Arbeitsumfeld in einem dynamischen Team
- Die Möglichkeit, aktiv an der Gestaltung und Optimierung unserer Produktionsprozesse mitzuwirken

Wenn Sie motiviert sind, in einem innovativen Unternehmen mit einem klaren Fokus auf Qualität und Kundenorientierung zu arbeiten, freuen wir uns auf Ihre Bewerbung. Bitte senden Sie Ihren Lebenslauf und ein Anschreiben an [Kontaktinformation].

Hinweis: Diese Stellenanzeige richtet sich an Bewerber aller Geschlechter. Wir freuen uns über vielfältige Bewerbungen."
57,"Stellenangebot: Elektriker (m/w/d) für unser modernes Unternehmen gesucht!

Wir, ein renommiertes Unternehmen im Bereich der Elektrotechnik, suchen zur Verstärkung unseres Teams einen erfahrenen Elektriker (m/w/d). Du bist ein Profi auf deinem Gebiet, besitzt fundierte Kenntnisse im Bereich der Elektroinstallation und bist auf der Suche nach einer neuen Herausforderung? Dann bist du bei uns genau richtig!

Deine Aufgaben:
- Installation und Instandhaltung von elektrischen Anlagen
- Fehlersuche und Fehlerbehebung an elektrischen Systemen
- Montage von Schalt- und Verteileranlagen
- Durchführung von Wartungsarbeiten
- Einhaltung von Sicherheitsvorschriften

Das bringst du mit:
- Abgeschlossene Ausbildung als Elektriker (m/w/d) oder vergleichbare Qualifikation
- Mehrjährige Berufserfahrung im Bereich Elektroinstallation
- Selbstständige und gewissenhafte Arbeitsweise
- Teamfähigkeit und Kommunikationsstärke
- Führerschein Klasse B

Wir bieten:
- Einen modernen Arbeitsplatz mit neuester Technik
- Attraktive Vergütung und Sozialleistungen
- Fort- und Weiterbildungsmöglichkeiten
- Ein kollegiales Arbeitsumfeld in einem dynamischen Team
- Langfristige Perspektiven und Entwicklungsmöglichkeiten

Bewirb dich jetzt und werde Teil unseres erfolgreichen Teams! Sende deine vollständigen Bewerbungsunterlagen inklusive Lebenslauf, Zeugnissen und frühestmöglichem Eintrittstermin an [Kontaktinformationen]. Wir freuen uns darauf, dich kennenzulernen!

Wir sind ein Arbeitgeber, der Chancengleichheit fördert und Vielfalt schätzt. Bewerbungen von Menschen mit Behinderung sind ausdrücklich erwünscht. Bei Fragen zur Stellenausschreibung oder dem Bewerbungsprozess stehen wir gerne zur Verfügung.

Hinweis: Im Sinne der besseren Lesbarkeit wurde im Text die männliche Form verwendet, jedoch sind alle Geschlechter gleichermaßen angesprochen."
58,"Stellenanzeige

Unser Unternehmen, ein führendes Logistikunternehmen mit Sitz in Berlin, sucht motivierte und erfahrene Mitarbeiter für verschiedene Positionen in unserem Team. Wir bieten sowohl blue-collar als auch white-collar Jobs in einem dynamischen Arbeitsumfeld mit vielfältigen Entwicklungsmöglichkeiten.

Blue-collar Jobs:

1. Lagermitarbeiter (m/w/d): Als Lagermitarbeiter sind Sie für die Kommissionierung, den Wareneingang sowie den Warenausgang verantwortlich. Sie bringen idealerweise Erfahrung im Lagerbereich mit und arbeiten gerne im Team.

2. Staplerfahrer (m/w/d): Wir suchen Staplerfahrer mit gültigem Führerschein und Erfahrung im Umgang mit Gabelstaplern. Ihre Hauptaufgaben umfassen das Be- und Entladen von LKW sowie die Warenbewegung im Lager.

3. Produktionsmitarbeiter (m/w/d): In der Produktion sind Sie für die Herstellung von Produkten nach Vorgaben zuständig. Sie arbeiten präzise, eigenständig und haben idealerweise Erfahrung im Produktionsbereich.

White-collar Jobs:

1. Logistikkoordinator (m/w/d): Als Logistikkoordinator sind Sie für die Planung und Steuerung von Transporten sowie die Kommunikation mit Lieferanten und Kunden verantwortlich. Sie verfügen über gute organisatorische Fähigkeiten und Kommunikationsstärke.

2. Einkäufer (m/w/d): Wir suchen einen erfahrenen Einkäufer, der die Beschaffung von Waren und Dienstleistungen koordiniert. Sie haben Verhandlungsgeschick, ein gutes Zahlenverständnis und arbeiten strukturiert.

3. Qualitätsmanager (m/w/d): Als Qualitätsmanager überwachen Sie den Produktionsprozess, führen Qualitätskontrollen durch und entwickeln Qualitätsstandards weiter. Sie haben ein Auge für Details und sind proaktiv in der Qualitätssicherung.

Wir bieten Ihnen eine attraktive Vergütung, eine angenehme Arbeitsatmosphäre und die Möglichkeit zur beruflichen Weiterentwicklung. Wenn Sie Teil eines innovativen und dynamischen Teams werden möchten, bewerben Sie sich jetzt für eine unserer offenen Stellen und gestalten Sie gemeinsam mit uns die Zukunft der Logistikbranche.

Bitte senden Sie Ihre Bewerbungsunterlagen an [E-Mail-Adresse] und geben Sie in Ihrer Bewerbung die Position an, für die Sie sich interessieren. Wir freuen uns darauf, Sie kennenzulernen und gemeinsam erfolgreich zu sein."
59,"Stellenanzeige:

Position: Elektriker (m/w/d)

Ort: Berlin

Unser Unternehmen ist führend in der Elektrotechnik-Branche und sucht einen zuverlässigen und erfahrenen Elektriker (m/w/d) zur Verstärkung unseres Teams. Wir bieten Ihnen eine langfristige Perspektive in einem dynamischen Arbeitsumfeld sowie attraktive Entwicklungsmöglichkeiten.

Ihre Aufgaben:
- Installation, Wartung und Reparatur elektrischer Anlagen
- Fehleranalyse und Behebung von Störungen
- Umsetzung von technischen Plänen und Vorgaben
- Einhaltung der Sicherheitsvorschriften und Qualitätsstandards

Ihr Profil:
- Abgeschlossene Ausbildung als Elektriker/in oder eine vergleichbare Qualifikation
- Berufserfahrung im Bereich Elektrotechnik
- Teamfähigkeit und eigenverantwortliches Arbeiten
- Kenntnisse in der Gebäude- sowie Industrieelektrik von Vorteil
- Führerschein der Klasse B wünschenswert

Wir bieten:
- Eine langfristige Beschäftigung in einem renommierten Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Fort- und Weiterbildungsmöglichkeiten
- Ein kollegiales Arbeitsumfeld mit moderner Ausstattung

Wir freuen uns auf Ihre aussagekräftige Bewerbung mit Angabe Ihres frühestmöglichen Eintrittstermins und Ihrer Gehaltsvorstellung. Bitte senden Sie Ihre Bewerbungsunterlagen per E-Mail an [E-Mail-Adresse] oder per Post an [Firmenadresse].

Vergessen Sie nicht, dass wir in unserem Team sowohl blue-collar als auch white-collar Jobs zu besetzen haben. Werden Sie Teil unseres Teams und bringen Sie Ihr Fachwissen und Ihre Fähigkeiten ein, um gemeinsam erfolgreich zu sein.

Bewerben Sie sich jetzt und gestalten Sie Ihre berufliche Zukunft bei uns!"
60,"Stellenanzeige:

Bei [Unternehmen] suchen wir motivierte und engagierte Mitarbeiter, um unser Team zu erweitern. Wir sind ein aufstrebendes Unternehmen im [Branche] und bieten vielfältige Möglichkeiten für Ihre berufliche Entwicklung.

**Stellenbezeichnung:**

1. **Blue Collar Job:**

**Maschinenbediener (m/w/d)**

**Standort:** [Ort]

**Ihre Aufgaben:**
- Bedienung und Überwachung von Produktionsmaschinen
- Sicherstellung der Produktqualität und -quantität
- Behebung von Störungen und Durchführung von einfachen Wartungsarbeiten
- Einhaltung von Sicherheits- und Qualitätsstandards

**Ihr Profil:**
- Abgeschlossene Berufsausbildung im technischen Bereich von Vorteil
- Erfahrung in der Bedienung von Maschinen
- Zuverlässigkeit, Teamfähigkeit und Flexibilität

**Was wir bieten:**
- Unbefristete Festanstellung in einem erfolgreichen Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Angenehmes Arbeitsklima in einem motivierten Team

2. **White Collar Job:**

**Marketing Manager (m/w/d)**

**Standort:** [Ort]

**Ihre Aufgaben:**
- Entwicklung und Umsetzung von Marketingstrategien
- Planung und Durchführung von Marketingkampagnen
- Markt- und Wettbewerbsanalyse
- Steuerung externer Dienstleister und Agenturen

**Ihr Profil:**
- Abgeschlossenes Studium im Bereich Marketing oder vergleichbare Qualifikation
- Berufserfahrung im Marketing, idealerweise in der [Branche]
- Kreativität, Kommunikationsstärke und analytisches Denkvermögen

**Was wir bieten:**
- Spannende und abwechslungsreiche Aufgaben mit Raum für Eigeninitiative
- Weiterbildungsmöglichkeiten und Entwicklungsperspektiven
- Attraktives Gehaltspaket und Zusatzleistungen

Wir freuen uns auf Ihre aussagekräftige Bewerbung! Bitte senden Sie Ihre Unterlagen unter Angabe Ihrer Gehaltsvorstellung an [Kontaktinformationen].

[Unternehmen] - gemeinsam erfolgreich in die Zukunft!"
61,"Stellenanzeige:

Wir suchen motivierte Mitarbeiter, um unser Team zu verstärken!

Bist du ein engagierter und talentierter Blue-collar-Arbeiter, der gerne in einem dynamischen Umfeld arbeitet? Oder bist du ein White-collar-Profi, der seine Fähigkeiten in einem innovativen Unternehmen unter Beweis stellen möchte? Dann bist du bei uns genau richtig!

Unser Unternehmen, ein führender Anbieter in der Branche, sucht derzeit nach qualifizierten Kandidaten für verschiedene Positionen. Als Blue-collar-Mitarbeiter wirst du in unserem Lager- und Logistikbereich tätig sein und für die ordnungsgemäße Abwicklung von Waren und Bestellungen verantwortlich sein. Du solltest über eine ausgeprägte Teamfähigkeit verfügen, Flexibilität zeigen und eine Hands-on-Mentalität mitbringen. Erfahrung in der Lagerarbeit ist von Vorteil, aber nicht zwingend erforderlich - wir bieten eine umfassende Einarbeitung und Schulung an.

Für unsere White-collar-Positionen suchen wir Fachkräfte mit ausgezeichneten analytischen und kommunikativen Fähigkeiten. Als Teil unseres Teams wirst du in den Bereichen Marketing, Vertrieb oder Personalwesen tätig sein und maßgeschneiderte Lösungen für unsere Kunden entwickeln. Wir suchen Kandidaten mit einem starken Sinn für Innovation, Kreativität und strategisches Denken. Erfahrung in der jeweiligen Branche ist von Vorteil, aber auch hier legen wir Wert auf kontinuierliche Weiterbildung und berufliche Entwicklung unserer Mitarbeiter.

Unsere Unternehmenskultur zeichnet sich durch Offenheit, Teamarbeit und den Willen zur ständigen Verbesserung aus. Wir bieten einen attraktiven Arbeitsplatz, eine angemessene Vergütung sowie vielfältige Möglichkeiten zur beruflichen und persönlichen Weiterentwicklung. Wenn du Teil eines erfolgreichen Teams werden möchtest und bereit bist, neue Herausforderungen anzunehmen, dann freuen wir uns auf deine Bewerbung!

Sende uns deine Unterlagen inklusive Lebenslauf und Motivationsschreiben an careers@unserunternehmen.com und werde Teil unseres dynamischen Teams!

Bewerbungsschluss: 31. Dezember 20XX

Wir freuen uns darauf, dich kennenzulernen und gemeinsam erfolgreich zu sein!"
62,"Stellenanzeige:

Wir suchen motivierte Mitarbeiter für unser dynamisches Unternehmen in der Logistikbranche!

Position: Lagermitarbeiter (m/w/d)

Standort: Berlin

Arbeitszeit: Vollzeit, Schichtarbeit

Das bieten wir:
- Attraktive Vergütung und zahlreiche Benefits
- Ein angenehmes Arbeitsumfeld in einem wachsenden Unternehmen
- Möglichkeiten zur beruflichen Weiterentwicklung und Weiterbildung
- Modernste Arbeitsmittel und Technologien
- Teamwork und Zusammenhalt in einem motivierten Team

Ihre Aufgaben:
- Wareneingangsprüfungen durchführen
- Warenbestände kontrollieren und verwalten
- Ein- und Auslagerung von Waren mit Hilfe von Flurförderzeugen
- Kommissionierung von Aufträgen nach Vorgabe
- Sicherstellung der Sauberkeit und Ordnung im Lagerbereich

Ihr Profil:
- Erfahrung im Lagerbereich von Vorteil, gerne auch Berufsanfänger
- Bereitschaft zur Schichtarbeit
- Teamfähigkeit und Zuverlässigkeit
- Gute körperliche Fitness
- Gültiger Staplerschein von Vorteil

Wenn Sie sich für eine vielseitige Tätigkeit in einem innovativen Unternehmen begeistern können und gerne in einem engagierten Team arbeiten, freuen wir uns auf Ihre Bewerbung! Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen an bewerbung@logistikunternehmen-berlin.de.

Entdecken Sie spannende Herausforderungen in der Logistikbranche und seien Sie Teil unseres erfolgreichen Teams!"
63,"Stellenanzeige:

Unternehmensname: VarioTech Consulting GmbH

Position: Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik

Standort: Berlin

VarioTech Consulting GmbH, ein renommiertes Unternehmen im Bereich der Gebäudetechnik, sucht ab sofort eine/n engagierte/n Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik zur Verstärkung unseres Teams in Berlin.

Ihre Aufgaben:
- Installation, Wartung und Reparatur von Sanitär-, Heizungs- und Klimaanlagen
- Eigenständige Durchführung von Instandhaltungs- und Inspektionsarbeiten
- Analyse und Behebung von Störungen an technischen Anlagen
- Dokumentation von durchgeführten Arbeiten
- Einhaltung von Sicherheits- und Qualitätsstandards

Ihr Profil:
- Abgeschlossene Ausbildung als Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik oder vergleichbare Qualifikation
- Erfahrung in der Installation und Wartung von technischen Anlagen
- Kenntnisse im Bereich der Gebäudetechnik
- Teamfähigkeit und eigenverantwortliche Arbeitsweise
- Führerschein der Klasse B von Vorteil

Wir bieten:
- Attraktive Gehalts- und Sozialleistungen
- Eigenverantwortliches Arbeiten in einem dynamischen Team
- Fort- und Weiterbildungsmöglichkeiten
- Modernes Arbeitsumfeld und gute Entwicklungschancen

VarioTech Consulting GmbH legt großen Wert auf ein angenehmes Arbeitsklima und fördert die berufliche Weiterentwicklung seiner Mitarbeiter. Wenn Sie Teil eines erfolgreichen Teams werden möchten und Freude an immer neuen Herausforderungen haben, senden Sie uns bitte Ihre vollständigen Bewerbungsunterlagen an careers@variotech-consulting.com.

Wir freuen uns darauf, Sie kennenzulernen und gemeinsam erfolgreich durchzustarten!"
64,"Stellenanzeige: Mechaniker (m/w/d) für Kfz-Werkstatt in Stuttgart gesucht!

Unser renommiertes Autohaus in Stuttgart sucht einen engagierten Mechaniker (m/w/d), der unser Team in der Kfz-Werkstatt verstärkt. Als Teil unseres Teams bist du für die Reparatur und Wartung von Fahrzeugen aller Marken verantwortlich und trägst so dazu bei, dass unsere Kunden sicher und zufrieden auf den Straßen unterwegs sind.

**Aufgaben:**
- Durchführung von Inspektionen, Reparaturen und Wartungsarbeiten an Fahrzeugen
- Diagnose und Behebung von technischen Problemen
- Einbau von Ersatzteilen und Zubehör
- Sicherstellung der Qualität und Termintreue der durchgeführten Arbeiten

**Anforderungen:**
- Abgeschlossene Ausbildung zum Kfz-Mechaniker oder vergleichbare Qualifikation
- Berufserfahrung in einer Kfz-Werkstatt
- Kenntnisse in der Fahrzeugdiagnose und -reparatur
- Teamfähigkeit, Zuverlässigkeit und Flexibilität
- Führerschein der Klasse B

Wir bieten:
- Ein motiviertes und kollegiales Team
- Attraktive Vergütung und Sozialleistungen
- Weiterbildungsmöglichkeiten und Karriereperspektiven
- Moderne Arbeitsbedingungen und hochwertige Ausstattung in der Werkstatt

Deine Leidenschaft für Autos und deine technische Expertise machen dich zu einem idealen Kandidaten für diese Position? Dann bewirb dich jetzt bei uns und werde Teil unseres Teams! Sende deine Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an recruitment@autowerkstatt-stuttgart.de.

Wir freuen uns darauf, dich kennenzulernen und gemeinsam die Zukunft der Mobilität zu gestalten!"
65,"Stellenangebot: Produktionsmitarbeiter (m/w/d)

Wir sind auf der Suche nach motivierten Produktionsmitarbeitern (m/w/d), die unser Team in [Standort] verstärken möchten. Als führendes Unternehmen in der [Branche] produzieren wir hochwertige Produkte, auf die unsere Kunden weltweit vertrauen. Wenn Sie Interesse an einer herausfordernden Tätigkeit in einem dynamischen Umfeld haben, dann bewerben Sie sich bei uns!

Ihre Aufgaben:
- Bedienung von Produktionsmaschinen und -anlagen
- Kontrolle und Sicherstellung der Produktqualität
- Durchführung von Wartungs- und Reinigungsarbeiten
- Einhaltung von Sicherheits- und Qualitätsstandards
- Zusammenarbeit mit anderen Abteilungen, um einen reibungslosen Produktionsablauf sicherzustellen

Ihr Profil:
- Erfahrung in der Produktion von Vorteil, aber nicht zwingend erforderlich
- Bereitschaft zur Schichtarbeit
- Teamfähigkeit und Zuverlässigkeit
- Handwerkliches Geschick und technisches Verständnis
- Gute Deutschkenntnisse

Wir bieten:
- Eine langfristige Perspektive in einem stabilen Unternehmen
- Einarbeitung und Schulungen
- Attraktive Zusatzleistungen und Sozialleistungen
- Weiterentwicklungsmöglichkeiten im Unternehmen
- Ein angenehmes Arbeitsklima in einem motivierten Team

Blue Collar und White Collar Bewerber sind gleichermaßen willkommen. Wir legen Wert auf Vielfalt und Chancengleichheit in unserem Unternehmen. Unabhängig von Ihrem beruflichen Hintergrund möchten wir Sie ermutigen, sich zu bewerben, wenn Sie über die erforderlichen Qualifikationen und die Motivation verfügen, sich in der Produktion zu engagieren.

Wenn Sie Teil unseres erfolgreichen Teams werden möchten, senden Sie bitte Ihre vollständigen Bewerbungsunterlagen an [Kontaktinformationen]. Wir freuen uns darauf, Sie kennenzulernen und über Ihre beruflichen Perspektiven bei uns zu sprechen.

Bewerben Sie sich jetzt und werden Sie Teil unseres Teams!"
66,"**Stellenanzeige: Allrounder im Facility Management gesucht**

Unser Unternehmen, ein führender Anbieter im Bereich Facility Management, sucht ab sofort einen motivierten Mitarbeiter (m/w/d) für eine vielseitige Position im Facility Management. Als Allrounder werden Sie zu einem wichtigen Mitglied unseres Teams und unterstützen bei verschiedenen Aufgaben im Bereich der Instandhaltung und Pflege von Gebäuden und Anlagen.

**Ihre Aufgaben:**

- Durchführung von Reparaturen und Wartungsarbeiten in den Bereichen Elektrik, Sanitär, Heizung und Lüftung
- Überwachung und Kontrolle der technischen Anlagen sowie Meldung von Störungen
- Organisation und Durchführung von Reinigungsarbeiten und Müllentsorgung
- Unterstützung bei Umzügen und Renovierungsarbeiten
- Pflege von Außenanlagen und Grünflächen

**Anforderungsprofil:**

- Abgeschlossene Ausbildung im handwerklichen Bereich (z.B. als Elektriker, Installateur, Hausmeister)
- Erfahrung im Facility Management oder in einem handwerklichen Beruf
- Selbstständige und strukturierte Arbeitsweise
- Teamfähigkeit und Zuverlässigkeit
- Führerschein der Klasse B

**Wir bieten:**

- Attraktive Vergütung und Zusatzleistungen
- Spannende und abwechslungsreiche Aufgaben in einem dynamischen Umfeld
- Möglichkeit zur beruflichen Weiterentwicklung und Weiterbildung
- Angenehmes Arbeitsklima und ein motiviertes Team

Wenn Sie gerne eigenverantwortlich arbeiten, über handwerkliches Geschick verfügen und Freude an abwechslungsreichen Aufgaben im Facility Management haben, dann freuen wir uns auf Ihre Bewerbung! Senden Sie uns Ihre vollständigen Unterlagen inklusive Lebenslauf, Zeugnissen und Gehaltsvorstellung an recruiting@facilitymanagementcompany.com."
